Price,Bedrooms,Bathrooms,SquareFeet,YearBuilt,GarageSpaces,LotSize,ZipCode,CrimeRate,SchoolRating
857517,2,1.5,1375,1961,1,1.69,13877,90.21,8
614817,3,2.5,2310,1944,1,0.11,94256,66.84,1
953099,2,2.5,1581,1956,1,0.88,83212,35.02,7
999684,3,3.0,2409,1988,2,1.04,41818,99.71,9
702475,1,1.5,2091,2009,3,1.07,58555,99.71,9
741677,3,3.0,4061,1983,1,1.16,52368,79.11,4
999684,3,1.0,2679,1966,3,1.39,58180,71.07,4
953093,2,2.0,840,2016,1,1.04,99666,64.53,5
696587,4,2.0,4781,1951,1,0.86,59421,73.96,8
953802,4,3.0,2422,2000,2,0.84,36620,99.71,5
567462,1,2.5,2276,1952,3,0.73,70539,21.32,4
670820,2,1.0,3237,1978,2,1.49,27077,39.56,8
869444,2,1.5,2943,1958,0,0.71,22663,47.94,5
179235,2,2.5,4010,1960,1,1.52,93335,65.85,5
165153,4,2.5,3992,1949,2,1.07,57285,94.39,3
586024,3,2.0,2035,2011,2,0.78,61235,61.21,8
439346,3,2.0,4997,1936,0,1.39,27619,67.32,6
824834,1,3.0,2578,1936,2,0.67,79503,68.8,5
449726,4,2.0,3245,2022,1,1.4,67477,49.98,1
281038,1,2.5,3496,1998,3,1.17,37488,37.34,8
999684,3,4.0,3360,1902,3,0.74,88747,51.47,2
730695,3,1.0,3539,1942,2,1.35,31169,30.48,6
838644,5,1.0,4997,1902,3,1.36,40373,30.98,3
193613,1,3.0,2018,1928,2,1.69,42669,59.92,2
511390,1,2.0,1967,1902,2,1.58,65277,35.55,8
795101,3,2.0,3202,1958,3,1.33,82170,99.71,5
369679,5,2.0,4997,1921,2,0.45,65120,53.54,5
883009,5,2.0,1981,1965,1,2.0,76376,88.45,9
462727,3,4.0,850,1904,0,0.3,64235,13.47,9
631242,2,3.0,2004,1965,1,1.57,44229,14.35,4
451727,4,3.0,1471,1948,2,1.29,96854,46.12,2
999684,2,1.0,2198,2017,3,0.43,25405,76.29,9
871798,4,1.5,4020,2013,2,0.99,25847,35.21,2
381348,4,1.0,2358,1991,1,1.02,33547,46.43,6
958362,5,1.5,2076,1951,0,1.77,16575,78.11,4
370607,5,3.5,3861,2022,1,0.67,14843,38.15,5
950032,4,3.0,4450,1907,1,0.92,17739,27.51,8
122420,2,2.5,840,1912,1,0.11,24852,69.71,3
294487,3,2.5,4041,1959,2,2.0,61661,11.78,3
999684,1,2.0,3322,2022,3,0.48,19157,38.56,7
999684,2,2.5,3843,1955,2,1.24,97942,52.61,9
970288,2,3.0,4158,1956,1,1.01,82968,64.55,9
702287,2,1.0,4649,1911,1,1.01,28837,73.0,1
653677,3,2.5,2638,1997,2,1.5,90684,77.5,4
213872,2,3.5,2835,1997,1,1.96,86730,40.61,2
545695,5,2.0,3282,1991,2,1.2,24819,76.89,7
581731,3,3.0,3065,1940,2,1.41,82161,63.89,5
999684,3,4.0,4891,1937,2,1.24,17404,70.08,7
723518,2,2.5,1100,1916,2,1.61,24674,31.07,4
159512,3,3.0,2035,1966,2,0.81,86043,68.47,7
997334,4,2.0,4997,1924,0,1.64,95923,44.92,5
638613,2,2.5,3921,1920,2,1.66,28697,50.7,5
471700,2,3.0,2271,1947,1,1.64,95083,54.07,4
999684,3,2.5,4082,1945,0,0.7,70663,99.71,9
999684,1,1.5,2754,1943,0,0.97,33570,22.98,2
999684,2,2.5,4494,1979,2,1.19,38037,83.56,5
468492,2,3.5,2793,1965,1,0.32,47982,90.5,9
774870,4,3.0,4644,1952,0,1.92,78524,73.09,9
999684,3,3.5,4997,1969,2,1.05,15156,33.9,3
999684,3,2.5,3776,1927,0,1.21,48280,98.16,3
643451,4,3.0,3479,1966,2,0.75,85324,39.76,6
784257,3,2.5,3924,1968,2,0.34,70706,69.1,7
344949,4,1.5,2985,1908,2,0.73,89721,52.8,8
372190,3,2.5,4997,1998,3,1.18,94270,38.69,1
999684,3,1.5,3277,1931,0,1.42,19971,65.06,9
999684,2,2.0,2379,1966,1,1.15,63140,99.71,3
742583,1,2.5,1350,2004,1,1.25,53408,56.7,9
999684,3,2.5,4371,1996,2,0.88,62022,99.71,1
999684,5,1.5,4813,1964,2,1.33,16487,44.04,2
553323,4,3.5,2827,1949,1,1.86,30997,51.55,9
999684,4,3.0,4108,1997,1,1.44,56456,14.03,9
999684,5,2.0,1979,1987,0,1.5,87988,33.26,5
752983,3,1.0,3283,1940,3,1.22,90908,43.03,4
999684,3,2.5,3603,1934,2,0.25,69416,39.85,5
181596,2,2.0,4649,1902,3,0.5,54767,21.67,6
999684,3,2.5,2143,1968,1,1.31,88970,27.39,6
736481,4,2.0,1895,1960,1,1.05,87952,41.07,4
624959,5,1.0,2710,2003,0,1.3,94784,83.48,1
750790,3,2.0,1468,1975,2,1.97,38194,6.26,4
195188,2,2.0,4299,2011,0,1.45,43785,0.19,1
840643,3,3.0,4910,1937,3,1.74,68676,0.19,7
999684,4,2.0,3803,2003,0,1.11,18373,24.92,6
999684,1,4.0,3804,1943,2,0.62,40283,67.66,5
581219,1,1.0,2506,1990,3,1.03,65911,39.06,4
455795,2,3.5,2591,1910,2,0.63,36414,38.67,9
584188,1,2.5,1949,1971,2,1.9,24378,38.02,8
999684,2,3.0,2334,1902,0,1.49,93872,0.19,6
739445,3,2.5,1216,1953,0,1.34,14700,74.12,4
614130,2,3.5,3020,1978,2,1.73,74143,87.05,9
999684,5,2.0,3730,1944,3,0.11,73229,39.66,5
803567,3,1.5,3952,1925,1,1.38,23901,51.78,3
999684,3,3.5,3174,1993,0,0.35,32597,52.74,4
555145,4,2.5,3226,1959,0,1.06,43428,18.58,7
591005,1,2.5,1307,1945,0,0.89,45687,36.61,8
651206,4,3.5,3507,1964,1,1.42,39493,99.71,7
268459,3,1.5,3943,2022,3,1.18,61224,49.21,7
862970,4,3.0,2056,2004,2,1.79,41852,55.76,4
901267,1,2.0,2451,2004,2,0.73,20932,29.35,4
790670,1,2.5,2625,1978,1,1.44,98545,36.94,5
664104,4,2.5,2564,1968,1,1.15,74202,67.93,5
206537,4,1.0,2719,1902,3,0.18,43583,25.15,2
572235,2,2.0,2980,1938,2,0.56,57278,95.96,5
596967,2,3.5,1352,1945,0,0.98,39865,2.79,7
473471,5,3.0,4196,1902,1,1.66,22289,31.09,4
650823,1,2.5,1278,1921,1,1.31,80270,6.71,9
904404,5,2.5,4997,1902,1,0.43,95549,87.45,2
999684,2,2.0,4649,1961,2,0.98,45521,48.28,3
839161,4,3.5,2394,1992,1,2.0,16505,41.07,4
985334,2,2.5,3342,2002,1,1.12,54327,60.77,7
729232,4,2.5,2553,1977,3,0.88,75519,89.6,6
165434,2,3.5,3946,1928,1,1.33,80221,55.54,3
561048,3,2.0,1553,1902,3,1.47,28409,82.22,1
736955,3,4.0,3636,1902,1,0.81,29517,40.87,2
999684,2,1.0,1663,1917,2,1.33,54533,21.64,1
705828,4,4.0,3174,1931,1,0.88,40475,56.01,7
758254,2,2.0,1474,1957,2,1.45,25327,29.24,2
801711,3,2.0,4044,1926,2,1.15,65344,69.15,7
320295,2,1.0,1706,1975,2,1.32,13671,37.54,7
999684,1,2.0,3005,1954,1,0.65,80477,46.89,8
999684,3,1.5,2652,1963,0,0.62,88002,0.19,3
999684,5,2.0,3642,2004,3,1.57,60756,45.73,6
428979,4,2.5,3597,1920,1,1.02,93822,42.34,5
999684,3,3.5,2154,1978,2,1.21,54959,82.8,5
244980,3,2.5,3313,1962,0,0.89,80124,74.37,5
999684,3,2.5,4888,1950,1,1.55,38080,50.02,7
999684,4,1.5,2492,1994,1,0.73,34544,2.38,7
453231,1,1.5,3744,1994,2,0.99,86347,36.65,5
592310,5,4.0,4997,1928,0,1.48,28733,82.83,4
769992,4,2.0,2447,1956,2,1.69,64211,43.61,4
553390,4,4.0,1685,1973,0,0.78,50696,18.61,5
