date,store_id,revenue,day_of_week,month,is_holiday,is_promo,store_city,store_state,store_region,population_density,median_income
2024-07-01,S001,4083.85,0,7,0,0,New York,NY,Northeast,High,High
2024-07-02,S001,4568.07,1,7,0,0,New York,NY,Northeast,High,High
2024-07-03,S001,4411.09,2,7,0,0,New York,NY,Northeast,High,High
2024-07-04,S001,10698.81,3,7,1,1,New York,NY,Northeast,High,High
2024-07-05,S001,5790.13,4,7,0,0,New York,NY,Northeast,High,High
2024-07-06,S001,7020.29,5,7,0,0,New York,NY,Northeast,High,High
2024-07-07,S001,5098.46,6,7,0,0,New York,NY,Northeast,High,High
2024-07-08,S001,4272.39,0,7,0,0,New York,NY,Northeast,High,High
2024-07-09,S001,4622.25,1,7,0,0,New York,NY,Northeast,High,High
2024-07-10,S001,4492.79,2,7,0,0,New York,NY,Northeast,High,High
2024-07-11,S001,5127.68,3,7,0,0,New York,NY,Northeast,High,High
2024-07-12,S001,5753.94,4,7,0,0,New York,NY,Northeast,High,High
2024-07-13,S001,8284.13,5,7,0,1,New York,NY,Northeast,High,High
2024-07-14,S001,5561.97,6,7,0,0,New York,NY,Northeast,High,High
2024-07-15,S001,3909.93,0,7,0,0,New York,NY,Northeast,High,High
2024-07-16,S001,4734.7,1,7,0,1,New York,NY,Northeast,High,High
2024-07-17,S001,4586.08,2,7,0,0,New York,NY,Northeast,High,High
2024-07-18,S001,4550.91,3,7,0,0,New York,NY,Northeast,High,High
2024-07-19,S001,6595.03,4,7,0,0,New York,NY,Northeast,High,High
2024-07-20,S001,7140.58,5,7,0,0,New York,NY,Northeast,High,High
2024-07-21,S001,5687.65,6,7,0,0,New York,NY,Northeast,High,High
2024-07-22,S001,3923.79,0,7,0,0,New York,NY,Northeast,High,High
2024-07-23,S001,4202.99,1,7,0,0,New York,NY,Northeast,High,High
2024-07-24,S001,3627.01,2,7,0,0,New York,NY,Northeast,High,High
2024-07-25,S001,4672.54,3,7,0,0,New York,NY,Northeast,High,High
2024-07-26,S001,5286.59,4,7,0,0,New York,NY,Northeast,High,High
2024-07-27,S001,8230.71,5,7,0,1,New York,NY,Northeast,High,High
2024-07-28,S001,6291.55,6,7,0,0,New York,NY,Northeast,High,High
2024-07-29,S001,4085.34,0,7,0,0,New York,NY,Northeast,High,High
2024-07-30,S001,4512.59,1,7,0,0,New York,NY,Northeast,High,High
2024-07-31,S001,4096.4,2,7,0,0,New York,NY,Northeast,High,High
2024-08-01,S001,5775.91,3,8,0,1,New York,NY,Northeast,High,High
2024-08-02,S001,5936.17,4,8,0,0,New York,NY,Northeast,High,High
2024-08-03,S001,7004.15,5,8,0,0,New York,NY,Northeast,High,High
2024-08-04,S001,5806.23,6,8,0,0,New York,NY,Northeast,High,High
2024-08-05,S001,4022.59,0,8,0,0,New York,NY,Northeast,High,High
2024-08-06,S001,4174.75,1,8,0,0,New York,NY,Northeast,High,High
2024-08-07,S001,4180.07,2,8,0,0,New York,NY,Northeast,High,High
2024-08-08,S001,4794.69,3,8,0,0,New York,NY,Northeast,High,High
2024-08-09,S001,4916.62,4,8,0,0,New York,NY,Northeast,High,High
